Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.6347048282623291	0	14.955224	7.7487273	63.0	9.0	14.955223880597014	7.7487270708506815	1002	1002
0.9321248531341553	1	15.723077	7.2716684	59.0	8.0	15.723076923076922	7.271668292992579	1022	2024
1.1747498512268066	2	17.912281	7.3252287	49.0	9.0	17.912280701754387	7.3252284600128315	1021	3045
1.4128239154815674	3	27.567568	13.465754	69.0	11.0	27.56756756756757	13.465753439926564	1020	4065
1.663299798965454	4	56.555557	30.679747	121.0	14.0	56.55555555555556	30.67974761272079	1018	5083
1.9441249370574951	5	130.11111	56.1673	200.0	31.0	130.11111111111111	56.16729860068727	1171	6254
2.2213358879089355	6	160.85715	59.34988	200.0	40.0	160.85714285714286	59.349879218624416	1126	7380
2.5030016899108887	7	188.5	11.856784	200.0	172.0	188.5	11.856784274554942	1131	8511
2.788727045059204	8	197.5	5.59017	200.0	185.0	197.5	5.5901699437494745	1185	9696
3.0574467182159424	9	185.0	14.537308	200.0	158.0	185.0	14.53730832490435	1110	10806
3.3628787994384766	10	190.33333	19.465069	200.0	147.0	190.33333333333334	19.465068427541908	1142	11948
3.666897773742676	11	192.0	9.3985815	200.0	176.0	192.0	9.39858145324779	1152	13100
3.9520058631896973	12	160.85715	58.327713	200.0	36.0	160.85714285714286	58.32771595887835	1126	14226
4.234457731246948	13	185.5	12.526638	200.0	161.0	185.5	12.526638282742368	1113	15339
4.496428966522217	14	177.33333	18.144482	200.0	155.0	177.33333333333334	18.144481867009105	1064	16403
4.765000820159912	15	157.42857	29.193232	200.0	95.0	157.42857142857142	29.193233770159544	1102	17505
5.047618627548218	16	189.83333	8.839621	200.0	178.0	189.83333333333334	8.839620404117412	1139	18644
5.307928085327148	17	170.0	31.53305	200.0	106.0	170.0	31.533051443419385	1020	19664
5.610935688018799	18	193.5	9.3050165	200.0	176.0	193.5	9.305016568138573	1161	20825
5.895364761352539	19	186.16667	10.510577	200.0	172.0	186.16666666666666	10.510576683618375	1117	21942
6.200741767883301	20	197.66667	5.217492	200.0	186.0	197.66666666666666	5.21749194749951	1186	23128
6.503060817718506	21	197.0	4.582576	200.0	188.0	197.0	4.58257569495584	1182	24310
6.814879894256592	22	200.0	0.0	200.0	200.0	200.0	0.0	1200	25510
7.135339975357056	23	200.0	0.0	200.0	200.0	200.0	0.0	1200	26710
7.4537458419799805	24	198.83333	2.6087458	200.0	193.0	198.83333333333334	2.608745973749754	1193	27903
7.759420871734619	25	190.83333	9.299044	200.0	173.0	190.83333333333334	9.299044156375547	1145	29048
8.049999713897705	26	192.0	7.187953	200.0	181.0	192.0	7.187952884282608	1152	30200
8.32177996635437	27	169.83333	63.462368	200.0	28.0	169.83333333333334	63.46236855193968	1019	31219
8.622702836990356	28	200.0	0.0	200.0	200.0	200.0	0.0	1200	32419
8.926560878753662	29	199.16667	1.8633897	200.0	195.0	199.16666666666666	1.863389981249825	1195	33614
9.242814779281616	30	197.5	5.59017	200.0	185.0	197.5	5.5901699437494745	1185	34799
9.561068058013916	31	199.0	2.236068	200.0	194.0	199.0	2.23606797749979	1194	35993
9.844145774841309	32	177.16667	33.58778	200.0	114.0	177.16666666666666	33.58777886209341	1063	37056
10.16569185256958	33	197.83333	3.3870668	200.0	191.0	197.83333333333334	3.3870669054835956	1187	38243
10.431519985198975	34	171.16667	38.211765	200.0	105.0	171.16666666666666	38.211763750040234	1027	39270
10.705996990203857	35	179.5	26.183645	200.0	129.0	179.5	26.183646295604692	1077	40347
10.982466697692871	36	178.16667	22.266691	200.0	151.0	178.16666666666666	22.26669161675249	1069	41416
11.26935076713562	37	175.5	54.783665	200.0	53.0	175.5	54.78366544874485	1053	42469
11.577389001846313	38	193.0	15.652476	200.0	158.0	193.0	15.652475842498529	1158	43627
11.857587814331055	39	170.83333	44.1981	200.0	85.0	170.83333333333334	44.19810202058706	1025	44652
12.145646810531616	40	171.33333	64.10061	200.0	28.0	171.33333333333334	64.10061535499398	1028	45680
12.425143718719482	41	169.66667	67.8274	200.0	18.0	169.66666666666666	67.82739531749363	1018	46698
12.7373948097229	42	198.66667	2.9814239	200.0	192.0	198.66666666666666	2.981423969999719	1192	47890
13.022629737854004	43	170.66667	65.591324	200.0	24.0	170.66666666666666	65.59132733999384	1024	48914
13.302517890930176	44	169.83333	67.45471	200.0	19.0	169.83333333333334	67.45471732124366	1019	49933
13.626691818237305	45	185.5	32.422985	200.0	113.0	185.5	32.42298567374695	1113	51046
13.907437801361084	46	169.5	68.20007	200.0	17.0	169.5	68.20007331374359	1017	52063
14.179252862930298	47	170.16667	66.70936	200.0	21.0	170.16666666666666	66.70936132874373	1021	53084
14.50735092163086	48	200.0	0.0	200.0	200.0	200.0	0.0	1200	54284
14.830022811889648	49	200.0	0.0	200.0	200.0	200.0	0.0	1200	55484
15.144691944122314	50	200.0	0.0	200.0	200.0	200.0	0.0	1200	56684
15.464346885681152	51	200.0	0.0	200.0	200.0	200.0	0.0	1200	57884
15.795543909072876	52	200.0	0.0	200.0	200.0	200.0	0.0	1200	59084
16.120336771011353	53	200.0	0.0	200.0	200.0	200.0	0.0	1200	60284
16.437590837478638	54	200.0	0.0	200.0	200.0	200.0	0.0	1200	61484
16.758636951446533	55	200.0	0.0	200.0	200.0	200.0	0.0	1200	62684
17.081934690475464	56	200.0	0.0	200.0	200.0	200.0	0.0	1200	63884
17.42025876045227	57	199.16667	1.8633897	200.0	195.0	199.16666666666666	1.863389981249825	1195	65079
