Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1.5024521350860596	0	16.242718	7.813522	61.0	8.0	16.24271844660194	7.813521620763502	5019	5019
2.685803174972534	1	47.698112	27.796146	158.0	12.0	47.698113207547166	27.79614803343474	5056	10075
3.8030080795288086	2	60.409637	27.255613	169.0	25.0	60.40963855421687	27.255611180694746	5014	15089
4.9457783699035645	3	72.38571	29.497843	161.0	28.0	72.38571428571429	29.49784149834059	5067	20156
6.079078197479248	4	94.54717	34.677795	200.0	31.0	94.54716981132076	34.67779782225729	5011	25167
7.243330240249634	5	128.92308	46.1388	200.0	51.0	128.92307692307693	46.13880096659545	5028	30195
8.434816122055054	6	149.97058	29.708868	200.0	62.0	149.97058823529412	29.708867060305757	5099	35294
9.66978406906128	7	167.48387	34.10219	200.0	99.0	167.48387096774192	34.10219079874009	5192	40486
10.882534265518188	8	131.28206	34.890266	200.0	71.0	131.28205128205127	34.89026660093829	5120	45606
12.084689140319824	9	131.94737	34.543602	200.0	56.0	131.94736842105263	34.5436012571306	5014	50620
13.31718134880066	10	113.37778	37.456516	200.0	51.0	113.37777777777778	37.456516352751635	5102	55722
14.535988092422485	11	69.35616	22.054337	133.0	31.0	69.35616438356165	22.054335058602142	5063	60785
15.758875131607056	12	40.33871	14.172832	89.0	12.0	40.33870967741935	14.172831288142975	5002	65787
16.98289203643799	13	21.744589	7.983188	46.0	9.0	21.744588744588743	7.98318870421751	5023	70810
18.22577404975891	14	13.521622	5.0006294	34.0	8.0	13.521621621621621	5.0006288866736766	5003	75813
19.475343227386475	15	12.703046	4.2421193	38.0	8.0	12.703045685279188	4.242119102541365	5005	80818
20.715413093566895	16	14.955224	5.531006	33.0	8.0	14.955223880597014	5.531005781038154	5010	85828
21.962448120117188	17	28.994219	10.431442	68.0	11.0	28.99421965317919	10.431442637014534	5016	90844
23.20279622077942	18	75.07462	24.266748	167.0	29.0	75.07462686567165	24.26674736848442	5030	95874
24.48320722579956	19	131.35898	35.355694	200.0	72.0	131.35897435897436	35.35569237850455	5123	100997
25.7592933177948	20	170.33333	29.509697	200.0	112.0	170.33333333333334	29.509697087944197	5110	106107
27.213163137435913	21	177.93103	27.470274	200.0	123.0	177.93103448275863	27.47027363192081	5160	111267
28.509007215499878	22	174.93103	22.797354	200.0	128.0	174.93103448275863	22.797354708133707	5073	116340
29.781200170516968	23	192.6923	11.730202	200.0	161.0	192.69230769230768	11.730201751721694	5010	121350
31.079182147979736	24	199.8077	0.96153843	200.0	195.0	199.80769230769232	0.9615384615384615	5195	126545
32.387044191360474	25	185.39285	22.21219	200.0	131.0	185.39285714285714	22.212189841414112	5191	131736
33.65321111679077	26	174.34483	25.564356	200.0	124.0	174.3448275862069	25.564355386936395	5056	136792
34.92583703994751	27	98.84314	27.065187	167.0	60.0	98.84313725490196	27.0651882255979	5041	141833
36.210981130599976	28	65.86842	20.169247	142.0	38.0	65.86842105263158	20.169245807771137	5006	146839
37.48107314109802	29	49.564358	12.8921	84.0	32.0	49.56435643564357	12.892100460700545	5006	151845
38.87072730064392	30	42.184875	8.485249	65.0	27.0	42.18487394957983	8.485248085244468	5020	156865
40.188915967941284	31	37.7594	6.9931765	52.0	24.0	37.7593984962406	6.993176455047185	5022	161887
41.54413414001465	32	34.170067	5.934305	48.0	22.0	34.17006802721088	5.934304915093618	5023	166910
42.830305099487305	33	32.23718	5.722327	50.0	20.0	32.23717948717949	5.7223271439287124	5029	171939
44.10954022407532	34	31.746836	5.2300696	46.0	21.0	31.746835443037973	5.230069715222309	5016	176955
45.40224003791809	35	31.118011	6.0724187	49.0	20.0	31.11801242236025	6.072418943545697	5010	181965
46.771799087524414	36	31.4	5.6835284	47.0	21.0	31.4	5.683528833392155	5024	186989
48.07195425033569	37	32.506493	7.115236	52.0	22.0	32.506493506493506	7.115235850693693	5006	191995
49.471163272857666	38	32.941177	7.9205494	61.0	22.0	32.94117647058823	7.920549342305167	5040	197035
50.8901801109314	39	37.365673	9.24504	71.0	23.0	37.365671641791046	9.245039851851919	5007	202042
52.26857113838196	40	41.421486	13.073063	78.0	23.0	41.421487603305785	13.073063635902592	5012	207054
53.64620518684387	41	46.925232	17.618332	121.0	28.0	46.925233644859816	17.618332070471656	5021	212075
55.03540825843811	42	52.520832	27.356056	147.0	26.0	52.520833333333336	27.356054771090232	5042	217117
56.388620138168335	43	54.085106	27.193811	145.0	29.0	54.08510638297872	27.193811707839867	5084	222201
57.75617218017578	44	59.666668	32.804012	200.0	28.0	59.666666666666664	32.80401156266067	5012	227213
59.10978817939758	45	52.291668	26.712168	162.0	28.0	52.291666666666664	26.712168211426707	5020	232233
60.434906244277954	46	52.322918	26.485252	172.0	28.0	52.322916666666664	26.48525328353602	5023	237256
61.81867027282715	47	56.19101	26.343401	166.0	30.0	56.19101123595506	26.34340051441338	5001	242257
63.129714250564575	48	63.379745	33.231945	197.0	29.0	63.379746835443036	33.23194429242585	5007	247264
64.44364905357361	49	57.793102	28.751066	152.0	33.0	57.793103448275865	28.75106711904014	5028	252292
65.76988530158997	50	61.289158	33.164623	200.0	32.0	61.28915662650602	33.16462410551046	5087	257379
67.05278015136719	51	64.29487	29.516666	158.0	31.0	64.2948717948718	29.51666585922438	5015	262394
68.33456897735596	52	67.2	22.99623	138.0	35.0	67.2	22.996231575340047	5040	267434
69.64406299591064	53	63.6962	27.013523	200.0	37.0	63.69620253164557	27.013524240801086	5032	272466
